title,platform,developer,publisher,releaseYear,buybackPrice,ebayPrice,originalPrice
3D Tetris,Virtual Boy,T&E Soft,Nintendo,1996,0,80,30
Bomberman: Panic Bomber,Virtual Boy,Hudson Soft,Nintendo,1995,0,18,30
Golf,Virtual Boy,T&E Soft,Nintendo,1995,0,13,30
Jack Bros.,Virtual Boy,Atlus,Atlus,1995,0,108,30
Mario Clash,Virtual Boy,Nintendo,Nintendo,1995,0,18,30
Mario Tennis,Virtual Boy,Nintendo,Nintendo,1995,0,7,30
Nesters Funky Bowling,Virtual Boy,Saffire Corporation,Nintendo,1996,0,45,30
Red Alarm,Virtual Boy,T&E Soft,Nintendo,1995,0,14,30
Teleroboxer,Virtual Boy,Nintendo,Nintendo,1995,0,12,30
Vertical Force,Virtual Boy,Hudson Soft,Nintendo,1995,0,13,30
Virtual Boy Wario Land,Virtual Boy,Nintendo,Nintendo,1995,0,19,30
Virtual League Baseball,Virtual Boy,Kemco,Kemco,1995,0,15,30
Waterworld,Virtual Boy,Ocean Software,Ocean Software,1995,0,50,30
